file_name,Q_port1,Q_port2,coupling_coefficient,bandwidth_13_Hz,bandwidth_23_Hz,group_delay_13_s,group_delay_23_s,min_insertion_loss_13_dB,min_insertion_loss_23_dB
device_0042__Sparams.csv,470.32855423404476,357.64961497802057,0.10753520180724285,100000000000.0,70000000000.0,7.282198260855205e-12,2.3220619570649664e-12,-8.976972837623418,-11.779417021568602
device_0043__Sparams.csv,364.41675632214907,295.0008120155538,-0.4141359015925795,70000000000.0,100000000000.0,4.054156803837076e-12,3.111742147700432e-12,-7.358884256751004,-3.5218251767706805
device_0044__Sparams.csv,476.77216438936546,259.09111757924325,-0.1497551852329409,30000000000.0,100000000000.0,4.5910767471082234e-12,2.8211342138476854e-12,-11.48464312759806,-3.5218251767706805
device_0045__Sparams.csv,357.7133828595017,321.4807042295263,-0.4002676374744141,90000000000.0,100000000000.0,3.743452446171932e-12,2.6927995049544404e-12,-7.067933707097099,-3.5218251767706805
device_0046__Sparams.csv,462.79033862221036,383.55843790465804,-1.0,100000000000.0,100000000000.0,2.7952262239741476e-12,1.960824414872129e-12,-5.939589288348202,-3.5218251767706805
device_0047__Sparams.csv,430.7751648745407,269.18343562455175,-0.2521659279872466,60000000000.0,100000000000.0,4.582744447596766e-12,3.5814056279294687e-12,-8.712860084231407,-3.9640032994276653
device_0048__Sparams.csv,424.63426752354707,345.126339120346,-0.44047891088411395,60000000000.0,100000000000.0,3.9794924359751736e-12,3.094443491271363e-12,-8.931247604245694,-3.5218251767706805
device_0049__Sparams.csv,408.7510116001694,273.4631093100056,-0.29902747206658853,40000000000.0,100000000000.0,4.4922833834125006e-12,2.508081720555863e-12,-10.420795758596174,-3.5218251767706805
device_0050__Sparams.csv,362.10936123341304,311.05898375397356,-0.4001823920816623,80000000000.0,100000000000.0,3.67460952692764e-12,2.706601400778393e-12,-7.071727643420349,-3.5218251767706805
device_0051__Sparams.csv,504.82984634178445,413.6502367425853,-0.7999286778174944,80000000000.0,100000000000.0,3.2420103177167563e-12,2.45659811660712e-12,-7.096869350210274,-3.5218251767706805
device_0052__Sparams.csv,409.90077893832824,286.1946226430306,-0.2765660417123633,70000000000.0,100000000000.0,4.289940562744439e-12,3.2998441350314234e-12,-8.924438649011783,-3.6899968518611064
device_0053__Sparams.csv,551.2955771078142,349.19320873773086,-0.009647039250947254,20000000000.0,80000000000.0,6.168126662754099e-12,3.6117132957323713e-12,-11.471700358338559,-9.397001485681814
device_0054__Sparams.csv,503.8720173329656,339.67615845078444,0.2814418178754209,100000000000.0,70000000000.0,7.039459927420397e-12,2.8102579860864354e-12,-10.881984994940455,-12.442875059197725
device_0055__Sparams.csv,530.0457477364341,358.4637577220378,0.06700973998412342,100000000000.0,60000000000.0,7.060376495197079e-12,2.7341808680571993e-12,-12.389335265543002,-12.89465611645549
device_0056__Sparams.csv,526.8486900913259,336.4206000775369,0.06550107768423213,100000000000.0,70000000000.0,6.6564224127364915e-12,3.1151328144675217e-12,-9.591930709689949,-10.912628365707729
device_0057__Sparams.csv,432.83409536848626,268.9244518547024,-0.23880458422905412,70000000000.0,100000000000.0,4.532564017403762e-12,3.4573708016946797e-12,-7.551704540442267,-4.245403712316582
device_0058__Sparams.csv,568.7996048779437,363.3988614083405,0.0237061353267052,20000000000.0,70000000000.0,5.69827041538648e-12,3.6638143673846974e-12,-12.488176245656872,-6.103610758751611
device_0059__Sparams.csv,381.05671527106017,347.889770676107,-0.6,100000000000.0,100000000000.0,3.5864803800307236e-12,2.4289038692907704e-12,-5.640716986493923,-3.5218251767706805
device_0060__Sparams.csv,392.8455658396824,376.4193109960794,0.15229578789278145,100000000000.0,70000000000.0,7.894561862241728e-12,2.146389529204713e-12,-8.794477850822231,-10.290495835237634
device_0061__Sparams.csv,471.79772506781046,254.88340301534038,-0.14440663607189266,30000000000.0,100000000000.0,5.096909075836759e-12,2.9357066163594602e-12,-10.801192189455504,-3.5218251767706805
